Gene name,Mutated samples,Samples tested
KRAS_ENST00000311936,25008,72560
KRAS_ENST00000557334,24261,72560
KRAS,24260,72560
KRAS_ENST00000556131,23588,72560
TP53,8979,19247
BRAF,8880,85414
APC,6086,11827
TP53_ENST00000413465,5824,19247
TP53_ENST00000619485,5823,19247
TP53_ENST00000622645,5823,19247
TP53_ENST00000610292,5823,19247
TP53_ENST00000617185,5823,19247
TP53_ENST00000420246,5823,19247
TP53_ENST00000620739,5823,19247
TP53_ENST00000445888,5823,19247
TP53_ENST00000610538,5823,19247
TP53_ENST00000455263,5823,19247
TP53_ENST00000359597,5821,19247
TP53_ENST00000615910,5820,19247
TP53_ENST00000510385,5569,19247
TP53_ENST00000504290,5569,19247
TP53_ENST00000619186,5569,19247
TP53_ENST00000610623,5569,19247
TP53_ENST00000618944,5569,19247
TP53_ENST00000504937,5569,19247
APC_ENST00000508376,5551,11827
BRAF_ENST00000496384,4828,85414
BRAF_ENST00000644969,4826,85414
BRAF_ENST00000288602,4825,85414
PIK3CA,3268,22071
PIK3CA_ENST00000643187,2828,22071
TTN_ENST00000591111,1749,3333
TTN_ENST00000460472,1749,3333
TTN,1749,3333
TTN_ENST00000342992,1749,3333
TTN_ENST00000342175,1748,3333
TTN_ENST00000359218,1748,3333
TTN_ENST00000615779,1748,3333
PCDHA1,1377,2906
PCDHA1_ENST00000394633,1377,2906
PCDHA2,1335,2916
PCDHA3,1288,2916
PCDHGA1,1225,2775
PCDHA4_ENST00000512229,1224,2916
PCDHA4,1223,2916
PCDHGA2,1201,2754
PCDHA5_ENST00000529619,1161,2936
PCDHA5,1161,2936
PCDHGA3,1160,2775
PCDHGB1,1125,2743
PCDHA6_ENST00000527624,1105,2916
PCDHA6,1105,2916
FBXW7,1094,10207
PCDHGA4,1085,2743
PCDHGB2,1058,2743
SYNE1,1050,3522
SYNE1_ENST00000341594,1050,3522
SYNE1_ENST00000423061,1050,3522
PCDHA7,1042,2916
SMAD4,1036,9977
PCDHGA5,1022,2743
MUC16,990,3341
PCDHGB3,974,2743
SMAD4_ENST00000398417,964,9977
PCDHA8,962,2916
SMAD4_ENST00000588745,949,9977
PCDHGA6,920,2743
PCDHA9,884,2936
OBSCN,875,3337
OBSCN_ENST00000636875,875,3337
OBSCN_ENST00000366707,875,3337
OBSCN_ENST00000422127,875,3337
PCDHGA7,857,2743
FBXW7_ENST00000281708,845,10207
FBXW7_ENST00000603841,844,10207
FBXW7_ENST00000296555,814,10207
FBXW7_ENST00000393956,805,10207
FBXW7_ENST00000263981,805,10207
PCDHGB4,804,2743
TGFBR2_ENST00000295754,796,6393
PCDHA10,787,2915
PCDHA10_ENST00000506939,787,2915
OBSCN_ENST00000284548,776,3337
PCDHGA8,755,2743
PCDHGB5,697,2743
PCDHA11,686,2936
LRP1B,682,3524
PCDHGA9,656,2743
FAT4,644,2951
CSMD3,640,3555
CSMD3_ENST00000455883,637,3555
TTN_ENST00000360870,634,3333
TCF7L2_ENST00000369397,633,4999
TCF7L2_ENST00000543371,632,4999
TCF7L2_ENST00000355995,632,4999
TCF7L2,632,4999
TCF7L2_ENST00000536810,632,4999
TCF7L2_ENST00000542695,632,4999
TCF7L2_ENST00000534894,632,4999
TCF7L2_ENST00000538897,632,4999
NEB_ENST00000172853,631,2775
NEB,631,2775
NEB_ENST00000397345,631,2775
NEB_ENST00000409198,631,2775
NEB_ENST00000427231,631,2775
NEB_ENST00000604864,630,2775
NEB_ENST00000603639,630,2775
TCF7L2_ENST00000545257,629,4999
TCF7L2_ENST00000355717,627,4999
TCF7L2_ENST00000629706,625,4999
NRAS,622,15360
CSMD3_ENST00000343508,621,3555
PCDHGB6,617,2743
MUC4_ENST00000349607,606,3222
MUC4,606,3222
MUC4_ENST00000475231,606,3222
MUC4_ENST00000346145,606,3222
TCF7L2_ENST00000369395,597,4999
TCF7L2_ENST00000352065,597,4999
KMT2C,595,4566
KMT2C_ENST00000355193,592,4566
PCDHA12,573,2904
ATM,570,6337
PCDHGA10,569,2775
ATM_ENST00000452508,560,6337
CTNNB1,558,10303
RYR1_ENST00000355481,539,3097
KMT2D,539,4313
RYR1,536,3097
FAT3_ENST00000409404,535,2755
RNF43,527,4736
FAT3,524,2755
PCDHGB7,519,2743
RYR2,519,2834
CTNNB1_ENST00000642992,515,10303
CTNNB1_ENST00000646369,515,10303
CTNNB1_ENST00000453024,515,10303
CTNNB1_ENST00000645982,515,10303
CTNNB1_ENST00000396185,515,10303
CTNNB1_ENST00000646725,515,10303
CTNNB1_ENST00000647264,515,10303
CTNNB1_ENST00000644524,515,10303
CTNNB1_ENST00000643992,515,10303
CTNNB1_ENST00000642836,515,10303
CTNNB1_ENST00000642986,515,10303
CTNNB1_ENST00000642426,515,10303
CTNNB1_ENST00000645900,515,10303
CTNNB1_ENST00000450969,515,10303
CTNNB1_ENST00000405570,515,10303
CTNNB1_ENST00000644678,515,10303
CTNNB1_ENST00000349496,515,10303
CTNNB1_ENST00000646381,515,10303
CTNNB1_ENST00000643977,515,10303
CTNNB1_ENST00000645493,515,10303
CTNNB1_ENST00000646116,515,10303
CTNNB1_ENST00000642315,515,10303
CTNNB1_ENST00000645210,515,10303
CTNNB1_ENST00000643031,515,10303
CTNNB1_ENST00000644867,515,10303
CTNNB1_ENST00000431914,515,10303
CTNNB1_ENST00000642248,515,10303
CTNNB1_ENST00000644873,515,10303
CTNNB1_ENST00000433400,515,10303
CTNNB1_ENST00000642886,515,10303
CTNNB1_ENST00000643541,515,10303
CTNNB1_ENST00000643297,515,10303
CTNNB1_ENST00000396183,515,10303
CTNNB1_ENST00000647390,515,10303
CTNNB1_ENST00000646174,515,10303
CTNNB1_ENST00000645276,515,10303
CTNNB1_ENST00000441708,514,10303
RYR2_ENST00000360064,513,2834
DNAH5,513,2780
FLG,511,2914
CTNNB1_ENST00000644138,500,10303
CSMD1_ENST00000520002,497,2841
CSMD1_ENST00000602723,497,2841
CSMD1_ENST00000400186,497,2841
CSMD1,497,2841
CSMD1_ENST00000602557,497,2841
SDK1_ENST00000615806,492,2775
SDK1,492,2775
ARID1A,489,5142
PTEN,489,8808
ARID1A_ENST00000457599,483,5142
ARID1A_ENST00000430799,483,5142
SDK1_ENST00000389531,479,2775
CSMD1_ENST00000537824,476,2841
ZFHX4_ENST00000518282,475,2776
ZFHX4,475,2776
PTPRT,465,4477
DST,465,2868
PTPRT_ENST00000373190,464,4477
PTPRT_ENST00000373187,464,4477
PCLO,464,2809
PTPRT_ENST00000373193,464,4477
PTPRT_ENST00000373201,464,4477
PTPRT_ENST00000356100,464,4477
PTPRT_ENST00000373184,464,4477
USH2A,463,2914
ABCA13,461,2754
AMER1,461,5428
HMCN1,461,2915
DST_ENST00000421834,460,2868
DST_ENST00000370788,460,2868
DST_ENST00000361203,460,2868
FAT4_ENST00000335110,459,2951
AHNAK2,458,2743
POLE,458,5892
GNAS_ENST00000313949,456,7260
GNAS_ENST00000371075,456,7260
AMER1_ENST00000374869,454,5428
PLEC_ENST00000436759,454,2775
PLEC_ENST00000527096,454,2775
PCDHGA11_ENST00000518882,453,2743
SOX9,453,4303
SOX9_ENST00000645356,453,4303
PCDHGA11,453,2743
PLEC_ENST00000356346,451,2775
PLEC_ENST00000354958,451,2775
ZFHX3,449,4089
ARID1A_ENST00000374152,446,5142
DST_ENST00000244364,446,2868
PCLO_ENST00000423517,446,2809
PLEC,445,2775
TSPEAR,440,2780
PLEC_ENST00000398774,440,2775
TSPEAR_ENST00000613245,440,2780
TSPEAR_ENST00000614657,440,2780
PLEC_ENST00000354589,439,2775
NF1,439,4826
PLEC_ENST00000357649,438,2775
AHNAK2_ENST00000557457,438,2743
PLEC_ENST00000345136,438,2775
ZFHX3_ENST00000268489,437,4089
ZFHX3_ENST00000397992,437,4089
NF1_ENST00000356175,436,4826
ROBO2,436,2775
RYR3,434,2914
RYR3_ENST00000415757,434,2914
RYR3_ENST00000622037,434,2914
RYR3_ENST00000389232,434,2914
RYR3_ENST00000634418,432,2914
PCDHA13,430,2914
PCDHA13_ENST00000409494,430,2915
DMD,428,2960
DMD_ENST00000620040,426,2960
DMD_ENST00000378677,424,2960
DMD_ENST00000619831,423,2960
DNAH11,423,2775
DNAH11_ENST00000328843,423,2775
DNAH11_ENST00000620169,421,2775
LRP2,421,2940
FAT1,415,4142
POLE_ENST00000535270,415,5892
PTPRS,414,4049
PCDH15_ENST00000644397,412,2914
PCDH15_ENST00000414778,412,2914
PCDH15_ENST00000614895,412,2914
PCDH15_ENST00000373965,412,2914
PTPRS_ENST00000262963,411,4049
PTPRS_ENST00000588012,411,4049
PTPRS_ENST00000592099,411,4049
PTPRS_ENST00000353284,411,4049
PCDH15_ENST00000621708,410,2914
PCDH15_ENST00000495484,410,2914
PCDH15_ENST00000616114,410,2914
FAT1_ENST00000614102,410,4142
ACVR2A,406,3759
COL6A3_ENST00000472056,403,2916
COL6A3_ENST00000353578,403,2916
RNF43_ENST00000583753,403,4736
COL6A3_ENST00000347401,403,2916
RNF43_ENST00000577716,403,4736
COL6A3,403,2916
RNF43_ENST00000407977,403,4736
PCDHA2_ENST00000520672,402,2914
COL6A3_ENST00000409809,402,2916
MUC17,401,2903
RNF43_ENST00000581868,400,4736
COL5A1,399,2914
COL5A1_ENST00000618395,399,2914
DNAH17,398,2775
DNAH17_ENST00000585328,398,2775
SPTA1_ENST00000368147,397,2935
SPTA1,397,2935
MUC5B,396,2743
MACF1_ENST00000567887,394,2780
MACF1_ENST00000372915,394,2780
MACF1,394,2780
CDH23_ENST00000224721,393,2775
ERBB4,393,6221
CDH23_ENST00000622827,393,2775
TENM2_ENST00000518659,392,2743
NBEA_ENST00000629018,391,2775
NBEA_ENST00000379939,391,2775
NBEA,391,2775
NBEA_ENST00000310336,391,2775
MACF1_ENST00000564288,389,2780
PCDH17,386,2754
GNAS_ENST00000371102,385,7260
GNAS,385,7260
AC058822.1,384,2824
ERBB4_ENST00000436443,382,6221
PCDH15_ENST00000395446,379,2914
PCDH15_ENST00000395442,379,2914
PCDH15_ENST00000395438,379,2914
PCDH15_ENST00000395440,379,2914
PCDH15_ENST00000612394,379,2914
PCDH15_ENST00000613657,379,2914
PCDH15_ENST00000617271,379,2914
PCDH15_ENST00000409834,379,2914
RNF43_ENST00000577625,379,4736
PCDH15_ENST00000395445,379,2914
FBN2,376,2775
NRXN1_ENST00000406316,373,2754
NRXN1_ENST00000625672,373,2754
PCDHGA12,372,2754
FBN2_ENST00000262464,371,2775
MYCBP2_ENST00000357337,371,2754
CSMD2,371,2754
CSMD2_ENST00000373388,371,2754
CSMD2_ENST00000619121,371,2754
MYCBP2,371,2754
FBN2_ENST00000619499,370,2775
NRXN1_ENST00000401669,369,2754
NRXN1_ENST00000405472,369,2754
NRXN1,369,2754
ANK2_ENST00000506722,368,2846
PCDH15_ENST00000395430,368,2914
PCDH15_ENST00000617051,368,2914
NRXN1_ENST00000630543,368,2754
PCDH15_ENST00000395432,368,2914
MSH6,368,5483
PCDH15_ENST00000437009,368,2914
PCDH15_ENST00000395433,368,2914
PCDH15_ENST00000622048,368,2914
PCDH15_ENST00000320301,368,2914
PCDH15_ENST00000361849,368,2914
PCDH15,368,2914
TRRAP_ENST00000355540,367,3255
TRRAP_ENST00000628380,367,3255
TRRAP,367,3255
TRRAP_ENST00000446306,367,3255
DNAH10_ENST00000409039,366,2754
PTPRT_ENST00000612229,366,4477
DNAH10,366,2754
SSPO,364,2743
ANK2,362,2846
ERBB4_ENST00000402597,362,6221
ANK2_ENST00000394537,361,2846
PKHD1,361,2894
SACS_ENST00000423156,360,2781
SACS_ENST00000455470,360,2781
ADGRV1_ENST00000645211,360,2820
ADGRV1,360,2820
GLI3,360,2800
SACS,360,2781
NOTCH1,358,5402
MTOR,357,4783
AHNAK_ENST00000257247,356,2754
AHNAK_ENST00000530124,356,2754
ANK2_ENST00000264366,356,2846
HERC2,356,2914
DSCAM,356,2754
SACS_ENST00000402364,355,2781
RNF213,354,3085
RNF213_ENST00000508628,354,3085
CACNA1B_ENST00000371357,354,2775
EGFR,354,9750
CACNA1B_ENST00000371355,354,2775
CACNA1B,354,2775
CACNA1B_ENST00000371363,354,2775
PXDNL,354,2755
CACNA1B_ENST00000277551,353,2775
TGFBR2,353,6393
PTPRT_ENST00000618610,353,4477
CACNA1B_ENST00000277549,353,2775
GLI3_ENST00000479210,351,2800
AF241726.2,351,2743
RP1L1,350,2776
DOCK2,349,2914
DNAH8,347,2780
FAT2,347,2914
TG,346,2775
TENM2_ENST00000519204,346,2743
HECW1,345,2754
APOB,344,2839
HECW1_ENST00000453890,343,2754
PRKDC,343,2943
FRAS1,343,2775
ROBO1,343,2775
TENM2,342,2743
PRKDC_ENST00000338368,342,2943
CARD11,342,4410
EP400,342,3029
EP400_ENST00000389561,342,3029
MUC6,341,2743
CREBBP_ENST00000382070,341,4719
CREBBP,341,4719
C11orf65_ENST00000525729,341,2889
HYDIN,341,2754
HBG2_ENST00000380252,341,2754
UBR4,341,2780
DNAH8_ENST00000359357,340,2780
LRP1,340,2780
MDN1,340,2754
MDN1_ENST00000629399,340,2754
AHNAK,339,2754
DCHS2_ENST00000357232,339,2914
MACF1_ENST00000289893,338,2780
DPP10_ENST00000410059,338,2935
LAMA5,337,2820
NCOR2_ENST00000429285,336,2755
NCOR2_ENST00000404621,336,2755
LAMA1,335,2935
NCOR2,335,2755
FREM2,335,2754
DYNC2H1_ENST00000375735,333,2743
DYNC2H1_ENST00000334267,332,2743
DNAH9_ENST00000454412,331,2846
DPP10_ENST00000409163,331,2935
DYNC2H1,331,2743
TENM4,331,2743
DNAH9,331,2846
CACNA1E_ENST00000621791,330,2754
SPEG,330,2773
NOTCH3,330,4172
FBN3_ENST00000601739,329,2754
CACNA1E_ENST00000358338,329,2754
TRPS1_ENST00000640765,329,2754
TRPS1,329,2754
FBN3_ENST00000270509,329,2754
CACNA1E_ENST00000367567,329,2754
CACNA1E_ENST00000621551,329,2754
KIAA1109_ENST00000388738,329,2743
EGFR_ENST00000454757,329,9750
KIAA1109,329,2743
FBN3,329,2754
ARID1B_ENST00000636930,328,4277
HBE1_ENST00000380237,328,2754
HBE1,328,2754
VPS13B,328,2780
VPS13B_ENST00000357162,328,2780
ARID1B,328,4277
ARID1B_ENST00000350026,328,4277
EP300,327,4723
CACNA1E_ENST00000367570,327,2754
LAMA2_ENST00000617695,326,2940
MSH6_ENST00000540021,326,5483
ACVR2A_ENST00000535787,326,3759
LAMA2_ENST00000618192,326,2940
MSH6_ENST00000622629,326,5483
MSH6_ENST00000614496,326,5483
PREX2,325,2906
FLT4,325,4460
ACVR2A_ENST00000404590,325,3759
LAMA2,325,2940
SYNE1_ENST00000367253,325,3522
CACNA1E,324,2754
ANK3_ENST00000373827,324,2754
ATP10A,324,2775
ERBB2,324,7266
GRIN2A,324,4114
HSPG2,324,2776
ANK3_ENST00000503366,324,2754
CACNA1E_ENST00000357570,324,2754
TRPS1_ENST00000220888,323,2754
CACNA1E_ENST00000360108,323,2754
TENM3,323,2743
COL12A1,322,2775
HECTD4_ENST00000550722,322,2744
HECTD4,322,2744
COL12A1_ENST00000615798,322,2775
TRPS1_ENST00000520276,322,2754
COL22A1,321,2754
ROBO1_ENST00000618833,321,2775
ROBO1_ENST00000436010,321,2775
ROBO1_ENST00000618846,321,2775
RELN,320,2935
RELN_ENST00000424685,320,2935
RELN_ENST00000343529,320,2935
COL22A1_ENST00000435777,320,2754
KMT2A,319,4336
ANKRD11,319,4042
ROBO1_ENST00000495273,319,2775
ANK3,319,2754
DSCAM_ENST00000617870,319,2754
ANKRD11_ENST00000642600,319,4042
COL12A1_ENST00000345356,319,2775
ANKRD11_ENST00000378330,319,4042
CUBN,318,2781
NALCN,318,2780
DNAH8_ENST00000449981,318,2780
MED12L,318,2781
ALK,318,5100
AL132671.2,317,2820
GRIN2A_ENST00000330684,317,4114
GRIN2A_ENST00000562109,317,4114
KMT2A_ENST00000389506,317,4336
DIDO1_ENST00000395343,316,2754
COL12A1_ENST00000483888,316,2775
TRPS1_ENST00000519076,316,2754
ATRX,316,4378
DIDO1,316,2754
CACNA1H_ENST00000565831,315,2775
CACNA1H_ENST00000638323,315,2775
TECTA_ENST00000642222,315,2780
MED12L_ENST00000273432,315,2781
COL12A1_ENST00000416123,315,2775
ROBO1_ENST00000467549,315,2775
FBXO11_ENST00000405808,315,3006
CACNA1H_ENST00000358590,315,2775
ROBO2_ENST00000461745,315,2775
TECTA,315,2780
CACNA1H,315,2775
ROBO2_ENST00000332191,315,2775
ERBB2_ENST00000584601,314,7266
TECTA_ENST00000264037,314,2780
SYNE2_ENST00000554584,314,2780
SYNE2_ENST00000357395,314,2780
SYNE2_ENST00000344113,314,2780
ERBB2_ENST00000406381,314,7266
SYNE2,314,2780
FLT4_ENST00000393347,313,4460
TNXB_ENST00000644971,313,2754
ZNF536,313,2775
ATRX_ENST00000395603,313,4378
TNXB_ENST00000375244,313,2754
RIMS2,312,2775
PLXNA4,312,2755
PLXNA4_ENST00000321063,312,2755
PKHD1_ENST00000340994,312,2894
FRY_ENST00000647500,311,2775
FRY_ENST00000645780,311,2775
MSH6_ENST00000538136,311,5483
SMARCA4,310,4698
ERBB2_ENST00000541774,309,7266
SMARCA4_ENST00000643549,308,4698
SMARCA4_ENST00000646693,308,4698
PCDH10,308,2754
SMARCA4_ENST00000646484,308,4698
SMARCA4_ENST00000444061,308,4698
SMARCA4_ENST00000589677,308,4698
SMARCA4_ENST00000642628,308,4698
SMARCA4_ENST00000413806,308,4698
SMARCA4_ENST00000643296,308,4698
SMARCA4_ENST00000645460,308,4698
SMARCA4_ENST00000647230,308,4698
SMARCA4_ENST00000644737,308,4698
SMARCA4_ENST00000429416,308,4698
SMARCA4_ENST00000642726,308,4698
SMARCA4_ENST00000590574,308,4698
SMARCA4_ENST00000646510,308,4698
SMARCA4_ENST00000541122,308,4698
SMARCA4_ENST00000450717,308,4698
ERBB2_ENST00000445658,307,7266
ERBB2_ENST00000584450,307,7266
VCAN,306,2980
FLNC_ENST00000346177,306,2935
MMP26,306,2754
FLNC,306,2935
HRNR,305,2754
VCAN_ENST00000342785,305,2980
VCAN_ENST00000343200,305,2980
FLT4_ENST00000619105,305,4460
VCAN_ENST00000502527,305,2980
FLT4_ENST00000502649,305,4460
VCAN_ENST00000512590,305,2980
TRPM3_ENST00000357533,304,2754
PAPPA2,302,2775
DNAH2_ENST00000389173,301,2754
DOCK2_ENST00000520908,301,2914
DNAH2,301,2754
DPP10_ENST00000310323,301,2935
XIRP2_ENST00000409043,300,2820
XIRP2,300,2820
XIRP2_ENST00000409728,300,2820
DPP10,300,2935
PDZD2,300,2775
DOCK8,300,2769
MYO15A,299,2820
DOCK3,299,2754
MYO15A_ENST00000647165,299,2820
MYO15A_ENST00000615845,299,2820
UNC79,298,2780
KIF26B,297,2743
EGFR_ENST00000638463,297,9750
DNAH7,297,2754
ZIM2_ENST00000593711,296,2744
FRY_ENST00000380250,296,2775
ZIM2_ENST00000599935,296,2744
FRY,296,2775
ZIM2,296,2744
FRY_ENST00000642040,296,2775
DYNC1H1,295,2754
DSCAML1,295,2780
ARID1A_ENST00000615191,295,5142
ZIM2_ENST00000601070,295,2744
DSCAML1_ENST00000527706,294,2780
ERBB3,294,5605
BRCA2,294,4546
MYO16_ENST00000356711,294,2775
UNC79_ENST00000553484,294,2780
ASTN2,293,2780
ASTN2_ENST00000313400,293,2780
ASTN2_ENST00000361477,293,2780
MYO16,293,2775
UNC79_ENST00000555664,293,2780
TAF1L,293,3585
UNC79_ENST00000393151,292,2780
HDAC9_ENST00000406451,292,2754
MYO16_ENST00000357550,292,2775
SYNE1_ENST00000367248,292,3522
UTRN,291,2754
BRCA2_ENST00000544455,290,4546
TRIM5_ENST00000380027,290,2754
ABCA12,289,2819
RIMS2_ENST00000507740,289,2775
EPPK1,289,2743
MYH11,288,2927
COL11A1_ENST00000358392,288,2780
PDE4DIP_ENST00000585156,288,2868
MYH11_ENST00000452625,288,2927
EPDR1_ENST00000476620,288,2754
PDE4DIP_ENST00000524974,288,2868
MYH11_ENST00000576790,288,2927
RIMS2_ENST00000262231,288,2775
COL11A1,288,2780
COL11A1_ENST00000353414,288,2780
EPPK1_ENST00000568225,288,2743
HDAC9_ENST00000401921,287,2754
FN1_ENST00000421182,287,2894
FN1,287,2894
FN1_ENST00000336916,287,2894
FNDC1,287,2775
ROS1_ENST00000368507,287,4515
FN1_ENST00000357867,287,2894
MYH11_ENST00000300036,287,2927
NRG1_ENST00000519301,287,2770
FN1_ENST00000359671,287,2894
FN1_ENST00000323926,287,2894
ROS1,287,4515
NAV3,286,2842
LRRK2,286,2784
FN1_ENST00000446046,286,2894
DYSF_ENST00000413539,286,2780
FN1_ENST00000356005,286,2894
COL11A1_ENST00000512756,286,2780
DYSF_ENST00000429174,286,2780
FN1_ENST00000443816,286,2894
DYSF_ENST00000258104,286,2780
PDE4DIP_ENST00000618462,286,2868
DYSF_ENST00000409762,286,2780
FN1_ENST00000432072,286,2894
DYSF_ENST00000409582,286,2780
HDAC9,286,2754
PTPRD,285,4315
NAV3_ENST00000536525,285,2842
RIMS1_ENST00000491071,285,2775
PTCH1_ENST00000430669,285,4489
PTCH1_ENST00000437951,285,4489
DYSF,284,2780
ERBB3_ENST00000415288,284,5605
DYSF_ENST00000410041,284,2780
DYSF_ENST00000409744,284,2780
AKAP9,284,3054
HUWE1,284,2775
BSN,284,2754
HUWE1_ENST00000262854,284,2775
DYSF_ENST00000394120,284,2780
DYSF_ENST00000409366,284,2780
DYSF_ENST00000409651,284,2780
HUWE1_ENST00000612484,284,2775
CTNNA2_ENST00000466387,283,2775
ARID2,283,4385
SPEN,283,4143
PTCH1_ENST00000375274,283,4489
FBN1,283,2813
XIRP2_ENST00000628543,282,2820
NTRK1_ENST00000392302,282,4381
COL18A1_ENST00000400337,282,2914
NCOR2_ENST00000404121,281,2755
ITGB4,281,3382
VWF,281,2940
NCOR2_ENST00000356219,281,2755
ITGB4_ENST00000450894,281,3382
RIMS1_ENST00000520567,281,2775
CELSR1,281,2755
DNAH3,281,2780
ITGB4_ENST00000449880,281,3382
RIMS1_ENST00000264839,281,2775
ITGB4_ENST00000579662,280,3382
DIP2C,280,2780
KDR,280,5079
PTPRZ1,280,2775
PTPRZ1_ENST00000449182,280,2775
DOCK1_ENST00000280333,279,2935
CTNNA2_ENST00000496558,279,2775
TENM1_ENST00000371130,279,2780
SYNE1_ENST00000413186,279,3522
AKAP9_ENST00000359028,279,3054
TENM1,279,2780
GNAS_ENST00000371085,278,7260
PTPRD_ENST00000537002,278,4315
ANK2_ENST00000509550,278,2846
PTPRD_ENST00000540109,278,4315
PTPRD_ENST00000355233,278,4315
EPHA5_ENST00000613740,278,4200
EPHA5,278,4200
XIRP2_ENST00000409605,278,2820
EPHA5_ENST00000273854,278,4200
DIP2C_ENST00000634311,278,2780
XIRP2_ENST00000409273,278,2820
PTPRD_ENST00000397617,278,4315
PTPRD_ENST00000356435,278,4315
PTPRD_ENST00000397611,278,4315
DOCK1,278,2935
SCN5A_ENST00000423572,277,2812
SCN5A_ENST00000333535,277,2812
PDE4DIP_ENST00000369354,277,2868
PTPRD_ENST00000486161,277,4315
SCN5A,277,2812
CMYA5,277,2754
SCN5A_ENST00000450102,277,2812
SCN5A_ENST00000455624,277,2812
PKHD1L1,277,2775
SCN5A_ENST00000451551,277,2812
DNAH14_ENST00000445597,277,2743
PDE4DIP,277,2868
SCN5A_ENST00000425664,277,2812
SCN5A_ENST00000414099,277,2812
CTNNA2_ENST00000629316,277,2775
PTPRD_ENST00000397606,277,4315
RIMS1,276,2775
RIMS1_ENST00000518273,276,2775
EPHA5_ENST00000432638,276,4200
COL7A1,276,2795
SMAD2,276,6214
RIMS1_ENST00000517960,276,2775
TMEM132D,276,2914
RIMS1_ENST00000522291,276,2775
CTNNA2,276,2775
EPHA5_ENST00000354839,276,4200
AXIN2,275,4747
COL4A1,274,2754
TSC2,274,4432
SCN5A_ENST00000449557,274,2812
MYO18B_ENST00000335473,273,2775
SMAD2_ENST00000356825,273,6214
MYO18B,273,2775
PKD1L1,273,2935
DNAH14_ENST00000430092,273,2743
KDR_ENST00000263923,273,5079
CPAMD8_ENST00000388925,273,2775
TNS1_ENST00000646520,273,2780
MYO18B_ENST00000536101,273,2775
CPAMD8,273,2775
SMAD2_ENST00000402690,273,6214
CACNA1G_ENST00000354983,272,2775
CACNA1G,272,2775
CACNA1G_ENST00000358244,272,2775
CACNA1G_ENST00000360761,272,2775
CACNA1G_ENST00000352832,272,2775
CACNA1G_ENST00000442258,272,2775
CACNA1G_ENST00000429973,272,2775
CACNA1G_ENST00000514181,271,2775
TRPM3_ENST00000377111,271,2754
TSC2_ENST00000382538,271,4432
CACNA1G_ENST00000507510,271,2775
TSC2_ENST00000643946,271,4432
TSC2_ENST00000642936,271,4432
CACNA1G_ENST00000513689,271,2775
ATP8A2,271,2775
CACNA1G_ENST00000510366,271,2775
CACNA1G_ENST00000505165,271,2775
CACNA1G_ENST00000502264,271,2775
CACNA1G_ENST00000507336,271,2775
TRPM3,271,2754
TSC2_ENST00000401874,271,4432
TSC2_ENST00000642561,271,4432
CACNA1G_ENST00000507609,271,2775
TSC2_ENST00000439673,271,4432
TSC2_ENST00000646388,271,4432
CACNA1G_ENST00000513964,271,2775
TSC2_ENST00000644335,271,4432
TSC2_ENST00000644329,271,4432
TSC2_ENST00000568454,271,4432
TSC2_ENST00000643088,271,4432
MAGEC1,271,2821
CACNA1G_ENST00000515411,271,2775
CACNA1G_ENST00000514079,271,2775
TSC2_ENST00000642797,271,4432
CACNA1G_ENST00000515765,271,2775
CACNA1G_ENST00000507896,271,2775
SMAD2_ENST00000586040,271,6214
CACNA1G_ENST00000514717,271,2775
CACNA1G_ENST00000512389,271,2775
COL18A1,271,2914
CACNA1G_ENST00000515165,271,2775
TSC2_ENST00000644043,271,4432
CACNA1G_ENST00000510115,271,2775
TSC2_ENST00000350773,271,4432
CACNA1G_ENST00000503485,271,2775
COL18A1_ENST00000355480,271,2914
DOCK8_ENST00000453981,270,2769
HDAC9_ENST00000432645,270,2754
RIMS2_ENST00000436393,270,2775
TNS1,270,2780
ADGRB3,270,2868
FMN2,270,2775
EPHA5_ENST00000511294,270,4200
DOCK8_ENST00000469391,270,2769
ADAMTS2,270,2754
ANK1,269,2780
DNAH14_ENST00000439375,269,2743
LRRC7_ENST00000310961,269,2940
MAGEC1_ENST00000406005,269,2821
UNC79_ENST00000621021,269,2780
ROBO2_ENST00000614793,268,2775
CDH18,268,2780
RP1_ENST00000637698,268,2755
DNAH1,268,2787
PTCH1,268,4489
TRIO,268,2875
ARID2_ENST00000422737,267,4385
UNC13C,267,2743
UNC80,267,2754
PEG3,267,2780
UNC80_ENST00000272845,267,2754
ACACB_ENST00000377848,266,2915
ACACB,266,2915
COL27A1,266,2754
DLC1,266,2755
KIAA1549L,266,2743
FLNA_ENST00000610817,266,2775
DIP2C_ENST00000381496,266,2780
FLNA_ENST00000360319,266,2775
ADGRB3_ENST00000546190,266,2868
GRIN2A_ENST00000535259,266,4114
NAV2_ENST00000360655,266,2755
FLNA_ENST00000422373,266,2775
FLNA,266,2775
PEG3_ENST00000598410,265,2780
TNS1_ENST00000611415,265,2780
PCDH10_ENST00000618019,265,2754
CDH18_ENST00000382275,265,2780
PCNT,265,2775
CACNA1A_ENST00000637769,265,2775
CACNA1A_ENST00000635895,265,2775
NCOR1,265,4059
CACNA1A_ENST00000360228,265,2775
FLNA_ENST00000369856,265,2775
CACNA1A_ENST00000637736,265,2775
CACNA1A_ENST00000614285,265,2775
NCOR1_ENST00000395857,265,4059
CACNA1A_ENST00000636389,265,2775
TNS1_ENST00000615025,265,2780
